filename,id,DN,Surrounding,Cooling,full,Enrichment,Burnup,241Pu Mass,Bkg Count (700s),DN Theor. Uncert. (150+700),DN + Bkg MCNPX Uncert (300+1400),FC for each DN ,Source Adj. DN Ct.  (0-300s),Bkg Count (1400s.),Final DN ct. rate,244Cm Mass,DN Theor. Uncert. (300+1400),N (235U Mass),Nu bar,DN Ct. (200-300s),Bkg Count (150s),N (241Pu Mass),Bkg MCNPX Uncert,DN / Fission (%),238Pu Mass,DN + Bkg Theor. Uncert. (300+1400),Bkd Theor. Uncert. (700s) ,242Cm Yield,DN + Bkg Theor. Uncert. (150+700),CR,N (239Pu Mass),DN MCNPX Uncert. (300+1400),% Difference,FC mike,241Am Mass,DN Ct. (0-700s),FC with Mult., Prompt Neutron Source,242Pu Mass,Bkg MCNPX Uncert. (700s),DN + Bkg Ct. (150+700),Mult ^ q,240Pu Mass,DN Ct.  (0-300s),241Am Yield,Net Mult,#,MCNPX Uncert.,Net Mult.,MCNPX Uncert ,Theor. Uncert.,DN Count Rate w/ Mult.^2,Fission XC,240Pu Yield,Present FC,DN + Bkg MCNPX Uncert (150+700),PuEff Mass,242Pu Yield,238Pu Yield,FC w/ mult^2,Bkg MCNPX Uncert. (1400s),238U Mass,DN + Bkg Ct. (300+1400),239Pu Mass,Bkg Tally,242Cm Mass,244Cm Yield,DN Signal,q,Bkg Theor. Uncert. (1400s),Fissile Content,DN MCNPX Uncert. (150+700),235U Mass
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_30GWd_3pct_1yr_full.o,H2O_30GWd_3pct_1yr,-1,H2O,1,-1,3,30,569.1,54900000,10600,339000,2840,2440000,110000000,16300,13.3,30600,1.03E+25,2.8,237000000,11800000,1.42E+24,0.003,0,55.31,28700,7410,25400000,7570,16300,6.29E+24,348000,0,7.84,41.64,712000000,462.74,171000000,209.5,165000,14200000,3.15,990.8,676000000,49.14,2.27,21,40500,2.27,80300,26700,5154.52,1.01E-21,1010000,146.78,179000,147,360000,143000,756.93,329000,445000,822000000,2497,0.000459,1.21,144000000,2437567.57,1.4,10500,23,243000,4007
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_30GWd_3pct_5yr_full.o,H2O_30GWd_3pct_5yr,-1,H2O,5,-1,3,30,469.1,38600000,8910,243000,2710,2230000,77200000,14900,11.41,28400,1.03E+25,2.8,217000000,8270000,1.17E+24,0.003,0,54.75,27100,6210,55400,6390,14900,6.29E+24,254000,0,9.31,141,652000000,426.41,125000000,209.5,116000,10500000,2.99,992.2,620000000,166.38,2.19,22,37000,2.19,73400,25600,4982.07,1.01E-21,1010000,142.73,132000,143,360000,142000,681.61,232000,445000,730000000,2497,0.000442,0.00264,123000000,2232627.8,1.4,8790,19,176000,4007
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_30GWd_3pct_20yr_full.o,H2O_30GWd_3pct_20yr,-1,H2O,20,-1,3,30,227.3,20600000,6560,120000,2490,1880000,41100000,12600,6.42,25200,1.03E+25,2.8,183000000,4400000,5.68E+23,0.0025,0,48.64,24400,4530,4250,4740,12600,6.29E+24,135000,0,18.2,376.3,550000000,359.49,70900000,209.5,51400,6290000,2.7,995.5,523000000,444.03,2.04,23,31300,2.04,62100,23500,4642.77,1.01E-21,1020000,132.95,74300,133,360000,126000,550.58,103000,445000,591000000,2496,0.000414,0.000203,69400000,1883034.23,1.4,6410,9.2,90300,4008
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_30GWd_3pct_80yr_full.o,H2O_30GWd_3pct_80yr,-1,H2O,80,-1,3,30,12.53,2340000,2510,59400,2320,1640000,4670000,11000,0.65,22200,1.03E+25,2.8,160000000,501000,3.13E+22,0.0026,0,30.28,22100,1530,731,2000,11000,6.28E+24,83100,0,313,542.4,480000000,313.01,8430000,209.5,6070,2150000,2.52,994.9,456000000,640.03,1.93,24,29300,1.93,58100,22000,4354.23,1.01E-21,1010000,124.31,50500,124,360000,78400,464.99,12100,445000,485000000,2492,0.000396,3.48E-05,6970000,1644648.5,1.4,2160,0.507,50900,4012
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_30GWd_4pct_1yr_full.o,H2O_30GWd_4pct_1yr,-1,H2O,1,-1,4,30,526,36700000,8790,248000,3550,3790000,73500000,25300,7.08,35500,1.81E+25,2.8,368000000,7870000,1.31E+24,0.0029,0,48.86,34400,6060,19400000,6370,25300,6.70E+24,279000,0,8.14,39.2,1110000000,877.88,97200000,145.1,107000,11700000,4,869.1,1050000000,46.26,2.69,25,64500,2.69,128000,33400,6328.95,1.01E-21,886000,219.7,153000,220,250000,127000,1589.52,213000,441700,1180000000,2658,0.00054,0.926,76500000,3793417.51,1.4,8570,21.3,187000,7077
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_30GWd_4pct_5yr_full.o,H2O_30GWd_4pct_5yr,-1,H2O,5,-1,4,30,433.5,24500000,7240,183000,3410,3520000,49000000,23500,6.07,33600,1.81E+25,2.8,342000000,5250000,1.08E+24,0.0029,0,48.22,32900,4950,43600,5290,23500,6.70E+24,216000,0,9.73,131.1,1030000000,818.47,66900000,145.1,71000,8770000,3.79,869.7,977000000,154.7,2.59,26,58000,2.59,115000,32100,6192.17,1.01E-21,887000,215.95,122000,216,250000,125000,1448.75,142000,441700,1080000000,2658,0.000523,0.00208,65600000,3520281.25,1.4,7000,17.6,141000,7077
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_30GWd_4pct_20yr_full.o,H2O_30GWd_4pct_20yr,-1,H2O,20,-1,4,30,210.1,13100000,5420,125000,3170,3030000,26300000,20200,3.42,30700,1.81E+25,2.8,294000000,2820000,5.25E+23,0.0029,0,42.84,30200,3630,4370,4020,20200,6.69E+24,159000,0,19.3,348.4,885000000,712.64,38200000,145.1,38100,5850000,3.44,870.9,841000000,411.11,2.42,27,49800,2.42,98700,29800,5865.68,1.01E-21,888000,206.92,93300,207,250000,111000,1210.71,76200,441700,912000000,2657,0.000492,0.000208,36900000,3030222.24,1.4,5130,8.51,101000,7078
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_30GWd_4pct_80yr_full.o,H2O_30GWd_4pct_80yr,-1,H2O,80,-1,4,30,11.58,1620000,2440,98700,2990,2710000,3240000,18100,0.34,28300,1.81E+25,2.8,263000000,347000,2.89E+22,0.003,0,26.67,28300,1270,676,2080,18100,6.68E+24,139000,0,338,501.9,792000000,639.46,4920000,145.1,4850,3060000,3.21,868.4,752000000,592.24,2.3,28,49400,2.3,98200,28200,5622.97,1.01E-21,886000,198.94,85000,199,250000,69100,1054.71,9710,441700,795000000,2652,0.00047,3.22E-05,3710000,2711043.77,1.4,1800,0.469,85100,7083
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_30GWd_5pct_1yr_full.o,H2O_30GWd_5pct_1yr,-1,H2O,1,-1,5,30,481.1,27100000,7730,280000,4300,5570000,54100000,37200,4.17,41800,2.72E+25,2.8,541000000,5800000,1.20E+24,0.0028,0,43.56,41100,5200,15100000,5710,37200,7.01E+24,365000,0,8.72,36.32,1630000000,1532.71,61200000,104.5,75800,11400000,5.05,764.8,1550000000,42.86,3.18,29,118000,3.18,235000,40400,7352.52,1.01E-21,780000,303.34,217000,303,180000,113000,3068.84,152000,437900,1680000000,2782,0.000632,0.721,45000000,5572617.7,1.4,7360,19.5,230000,10620
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_30GWd_5pct_5yr_full.o,H2O_30GWd_5pct_5yr,-1,H2O,5,-1,5,30,396.6,17000000,6260,205000,4150,5200000,34000000,34700,3.58,39900,2.72E+25,2.8,505000000,3640000,9.91E+23,0.0028,0,42.9,39500,4120,34900,4710,34700,7.01E+24,273000,0,10.4,120.3,1520000000,1440,39700000,104.5,47600,8840000,4.8,765.1,1440000000,141.95,3.07,30,91300,3.07,181000,39100,7218.99,1.01E-21,780000,299.92,164000,300,180000,111000,2820.81,95200,437900,1550000000,2782,0.000612,0.00166,38600000,5199091.64,1.4,5830,16.1,170000,10620
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_30GWd_5pct_20yr_full.o,H2O_30GWd_5pct_20yr,-1,H2O,20,-1,5,30,192.2,9170000,4790,163000,3890,4570000,18300000,30500,2.01,37100,2.72E+25,2.8,444000000,1970000,4.80E+23,0.0028,0,38.11,36900,3030,4340,3710,30500,7.00E+24,224000,0,20.9,319.2,1340000000,1272.82,22800000,104.5,25700,6540000,4.36,765.4,1270000000,376.66,2.86,31,77800,2.86,154000,36600,6981.41,1.01E-21,781000,291.63,136000,292,180000,98700,2393.44,51400,437900,1350000000,2781,0.000575,0.000207,21700000,4570525.93,1.4,4280,7.78,138000,10620
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_30GWd_5pct_80yr_full.o,H2O_30GWd_5pct_80yr,-1,H2O,80,-1,5,30,10.59,1240000,2570,134000,3710,4140000,2470000,27600,0.2,34900,2.72E+25,2.8,402000000,265000,2.65E+22,0.0029,0,23.73,34900,1110,641,2320,27600,6.99E+24,190000,0,369,459.5,1210000000,1161.99,3200000,104.5,3580,4410000,4.08,762.4,1150000000,542.21,2.73,32,67700,2.73,134000,34900,6761.71,1.01E-21,778000,284.46,116000,284,180000,61500,2123.93,7170,437900,1210000000,2776,0.000551,3.05E-05,2180000,4143163.2,1.4,1570,0.429,116000,10630
/Users/jlconlin/Documents/PNAR/Light/PolySleeve/RBFMonteCarlo/Data/DN_H2O_45GWd_2pct_1yr_full.o,H2O_45GWd_2pct_1yr,-1,H2O,1,-1,2,45,749.1,339000000,26100,1770000,1990,1210000,679000000,8050,116.3,41400,1.72E+24,2.8,117000000,72700000,1.87E+24,0.0026,0,131,32100,18400,61900000,18500,8050,6.05E+24,1770000,0,8.91,55.73,353000000,171.17,1320000000,610.3,883000,73900000,2.32,1383,335000000,65.76,1.82,33,21600,1.82,42800,18800,3472.06,1.01E-21,1410000,73.85,883000,73.8,1050000,339000,245.42,1770000,440400,1030000000,2403,0.000367,2.95,1260000000,1207202.5,1.4,26100,30.3,1250000,670.4
